comm_id,prospect_id,campaign_id,comm_date,communication_type,opened_flag,clicked_flag,replied_flag
CM0000,PR0157,C007,2024-08-24,SMS,0,0,0
CM0001,PR0115,C004,2024-06-13,SMS,0,0,0
CM0002,PR0115,C002,2024-06-24,SMS,1,1,1
CM0003,PR0129,C003,2024-01-21,Email,0,0,0
CM0004,PR0156,C003,2024-07-05,Call,1,1,1
CM0005,PR0198,C006,2024-12-13,SMS,1,0,0
CM0006,PR0161,C006,2024-02-03,Call,0,0,0
CM0007,PR0142,C007,2024-05-25,Call,0,0,0
CM0008,PR0085,C002,2024-10-25,SMS,0,0,0
CM0009,PR0089,C005,2024-12-01,SMS,0,0,0
CM0010,PR0181,C002,2024-06-07,SMS,1,0,0
CM0011,PR0032,C002,2024-11-26,SMS,1,1,0
CM0012,PR0079,C003,2024-04-19,Call,1,1,0
CM0013,PR0035,C003,2024-02-09,Call,1,0,0
CM0014,PR0129,C001,2024-12-04,Call,0,0,0
CM0015,PR0152,C007,2024-03-19,Email,0,0,0
CM0016,PR0177,C003,2024-08-12,Email,0,0,0
CM0017,PR0184,C004,2024-08-15,SMS,1,0,0
CM0018,PR0059,C004,2024-06-07,Call,1,1,1
CM0019,PR0094,C008,2024-08-24,Call,0,0,0
CM0020,PR0041,C004,2024-11-05,Email,1,1,0
CM0021,PR0123,C006,2024-10-10,Email,1,0,0
CM0022,PR0072,C002,2024-03-23,Call,0,0,0
CM0023,PR0111,C002,2024-04-23,Call,1,1,0
CM0024,PR0101,C006,2024-04-30,Call,1,1,0
CM0025,PR0095,C004,2024-01-15,Call,0,0,0
CM0026,PR0182,C006,2024-03-15,Email,0,0,0
CM0027,PR0073,C008,2024-12-22,Email,0,0,0
CM0028,PR0001,C002,2024-01-10,Call,1,0,0
CM0029,PR0038,C007,2024-02-26,Call,0,0,0
CM0030,PR0077,C002,2024-01-25,Email,0,0,0
CM0031,PR0016,C002,2024-09-12,SMS,1,1,1
CM0032,PR0161,C004,2024-03-14,Call,0,0,0
CM0033,PR0090,C004,2024-10-19,Call,1,0,0
CM0034,PR0170,C002,2024-09-25,Call,0,0,0
CM0035,PR0134,C001,2024-07-18,Call,0,0,0
CM0036,PR0162,C007,2024-07-10,Call,0,0,0
CM0037,PR0091,C002,2024-06-25,Email,0,0,0
CM0038,PR0197,C006,2024-03-09,Email,0,0,0
CM0039,PR0044,C008,2024-12-22,Call,1,1,1
CM0040,PR0034,C002,2024-08-22,Email,0,0,0
CM0041,PR0051,C001,2024-06-10,Call,1,0,0
CM0042,PR0064,C001,2024-11-27,Email,1,1,1
