participation_id,prospect_id,event_id,attended_flag
EP0000,PR0052,E005,0
EP0001,PR0091,E004,0
EP0002,PR0157,E006,0
EP0003,PR0190,E006,1
EP0004,PR0060,E005,1
EP0005,PR0177,E006,0
EP0006,PR0097,E004,1
EP0007,PR0175,E003,0
EP0008,PR0003,E006,1
EP0009,PR0051,E005,1
EP0010,PR0057,E006,1
EP0011,PR0193,E005,0
EP0012,PR0198,E006,0
EP0013,PR0075,E004,0
EP0014,PR0174,E001,0
EP0015,PR0044,E006,0
EP0016,PR0096,E001,1
EP0017,PR0071,E005,1
EP0018,PR0033,E002,1
EP0019,PR0001,E003,1
EP0020,PR0181,E002,0
EP0021,PR0039,E003,0
EP0022,PR0198,E006,1
EP0023,PR0125,E005,1
EP0024,PR0018,E006,1
EP0025,PR0134,E002,0
EP0026,PR0133,E001,0
EP0027,PR0106,E005,1
EP0028,PR0023,E003,0
EP0029,PR0054,E006,1
EP0030,PR0084,E003,1
EP0031,PR0055,E005,1
EP0032,PR0143,E006,0
EP0033,PR0029,E006,1
EP0034,PR0114,E002,0
EP0035,PR0010,E006,1
EP0036,PR0097,E001,1
EP0037,PR0065,E005,1
EP0038,PR0006,E005,1
EP0039,PR0131,E005,1
EP0040,PR0124,E001,1
EP0041,PR0166,E002,1
EP0042,PR0131,E001,0
EP0043,PR0042,E005,0
EP0044,PR0160,E001,0
EP0045,PR0171,E006,0
EP0046,PR0175,E004,0
EP0047,PR0052,E005,1
EP0048,PR0165,E001,0
EP0049,PR0006,E004,1
EP0050,PR0009,E001,0
EP0051,PR0013,E002,1
EP0052,PR0142,E001,0
EP0053,PR0066,E004,1
EP0054,PR0115,E006,1
EP0055,PR0110,E003,0
EP0056,PR0099,E006,0
EP0057,PR0136,E001,0
EP0058,PR0193,E006,0
EP0059,PR0179,E001,1
EP0060,PR0128,E001,1
EP0061,PR0175,E003,0
EP0062,PR0072,E004,1
EP0063,PR0101,E006,0
EP0064,PR0121,E002,0
EP0065,PR0034,E006,1
EP0066,PR0139,E003,0
EP0067,PR0076,E006,1
EP0068,PR0002,E005,0
EP0069,PR0031,E001,0
EP0070,PR0146,E005,1
EP0071,PR0137,E005,0
EP0072,PR0078,E002,1
EP0073,PR0054,E004,0
EP0074,PR0041,E002,0
EP0075,PR0157,E003,0
EP0076,PR0029,E002,0
EP0077,PR0192,E005,1
EP0078,PR0165,E005,0
EP0079,PR0074,E006,0
EP0080,PR0064,E001,0
EP0081,PR0185,E005,1
EP0082,PR0084,E003,0
EP0083,PR0171,E006,0
EP0084,PR0025,E003,0
EP0085,PR0049,E003,1
EP0086,PR0115,E003,1
EP0087,PR0177,E005,0
EP0088,PR0144,E005,1
EP0089,PR0080,E004,0
EP0090,PR0001,E003,0
EP0091,PR0056,E006,1
EP0092,PR0070,E003,0
EP0093,PR0173,E006,1
EP0094,PR0122,E004,1
EP0095,PR0091,E003,1
EP0096,PR0141,E001,0
EP0097,PR0165,E005,0
EP0098,PR0071,E002,0
EP0099,PR0067,E006,0
EP0100,PR0186,E001,0
EP0101,PR0129,E006,0
EP0102,PR0148,E005,1
EP0103,PR0196,E005,0
EP0104,PR0009,E005,1
EP0105,PR0139,E005,1
EP0106,PR0167,E002,1
EP0107,PR0100,E002,1
EP0108,PR0034,E004,0
EP0109,PR0101,E003,0
EP0110,PR0169,E002,0
EP0111,PR0193,E005,0
EP0112,PR0114,E002,0
EP0113,PR0144,E005,0
EP0114,PR0188,E006,1
EP0115,PR0091,E001,0
EP0116,PR0194,E004,0
EP0117,PR0016,E003,1
EP0118,PR0059,E001,0
EP0119,PR0132,E003,1
